Gene_ID,Cluster_Label
10000_at,2
10001_at,2
10002_at,1
10003_at,0
10004_at,1
10005_at,2
10006_at,3
10007_at,2
10008_at,3
10009_at,2
1000_at,3
10010_at,2
10011_at,2
10013_at,2
10014_at,2
10015_at,2
10016_at,2
10017_at,1
10018_at,1
10019_at,3
1001_at,3
10020_at,2
10021_at,1
10022_at,1
10023_at,3
10024_at,2
10025_at,2
10026_at,2
1002_at,0
10036_at,2
10038_at,2
10039_at,3
1003_at,0
10040_at,0
10042_at,2
10043_at,2
10044_at,3
10045_at,1
10046_at,3
10047_at,1
10048_at,2
10049_at,3
1004_at,3
10050_at,1
10051_at,3
10052_at,3
10053_at,1
10054_at,2
10055_at,2
10056_at,2
10057_at,2
10058_at,3
10059_at,2
1005_at,3
10060_at,3
10061_at,2
10062_at,3
10066_at,2
10067_at,2
10068_at,3
10069_at,3
1006_at,1
10071_at,3
10072_at,2
10073_at,3
10075_at,2
10076_at,3
10077_at,1
10078_at,2
10079_at,3
1007_at,3
10081_at,2
10082_at,0
10083_at,0
10084_at,2
10085_at,3
10086_at,1
10087_at,2
10089_at,2
1008_at,0
10090_at,0
10092_at,2
10093_at,2
10095_at,3
10096_at,2
10097_at,2
10098_at,3
10099_at,2
1009_at,3
100_at,0
10100_at,3
10101_at,2
10102_at,0
10103_at,1
10105_at,3
10106_at,0
10107_at,1
10109_at,2
1010_at,3
10110_at,2
10111_at,3
10112_at,3
10113_at,2
10114_at,2
10116_at,2
10117_at,1
10120_at,2
10121_at,2
10123_at,0
10125_at,0
10126_at,2
10127_at,2
10128_at,2
10129_at,3
1012_at,0
10130_at,2
10131_at,2
10133_at,3
10134_at,2
10136_at,1
10137_at,2
10138_at,2
10139_at,2
1013_at,1
10140_at,3
10141_at,1
10142_at,2
10143_at,1
10144_at,3
10146_at,2
10147_at,2
10148_at,3
10149_at,3
1014_at,1
10150_at,3
10151_at,1
10152_at,2
10153_at,2
10154_at,3
10155_at,2
10157_at,3
10158_at,3
10159_at,2
1015_at,3
10160_at,3
10161_at,3
10162_at,2
10163_at,2
10164_at,1
10165_at,3
10166_at,2
10168_at,2
10169_at,2
1016_at,0
10170_at,0
10171_at,3
10172_at,3
10174_at,2
10175_at,2
10178_at,1
10179_at,3
1017_at,2
10180_at,2
10181_at,2
10184_at,3
10186_at,3
10188_at,2
10189_at,3
1018_at,2
10190_at,2
10193_at,2
10194_at,3
10195_at,2
10196_at,3
10197_at,2
10198_at,2
10199_at,2
1019_at,0
101_at,1
10200_at,2
10201_at,3
10202_at,0
10203_at,0
10205_at,3
10206_at,3
10207_at,1
10208_at,2
10209_at,2
1020_at,2
10210_at,3
10211_at,2
10212_at,2
10213_at,2
10214_at,1
10215_at,3
10216_at,3
10217_at,3
10218_at,1
10219_at,2
1021_at,0
10220_at,3
10221_at,3
10223_at,1
10224_at,3
10225_at,1
10226_at,3
10227_at,2
10228_at,2
10229_at,2
1022_at,2
10230_at,3
10231_at,0
10232_at,1
10233_at,3
10234_at,0
10235_at,3
10236_at,2
10237_at,2
10238_at,2
10239_at,2
